nom
Alexandre Langlois
Anasse Kazib
Anne Hidalgo
Antoine Martinez
Arnaud Montebourg
Clara Egger
Delphine Batho
Denis Payre
Emmanuel Macron
Eric Ciotti
Eric Piolle
Eric Zemmour
Fabien Roussel
Florian Philippot
François Asselineau
Hélène Thouy
Jacline Mouraud
Jean Lassalle
Jean-Christophe Lagarde
Jean-Frédéric Poisson
Jean-Luc Mélenchon
Jean-Marc Governatori
Marie Cau
Marine Le Pen
Martin Rocca
Michel Barnier
Nathalie Arthaud
Nicolas Dupont-Aignan
Philippe Juvin
Philippe Poutou
Pierre Larrouturou
Sandrine Rousseau
Stéphane Le Foll
Valérie Pécresse
Xavier Bertrand
Yannick Jadot
